Error,Ntot,Threads,Duration
1.742632360195298E-5,120000000,1,4213
1.000023149453722,120000000,1,4194
2.0000615948401417,120000000,1,4319
3.0001006450153445,120000000,1,4305
4.000038302881469,120000000,1,4256
0.5000093456190752,120000000,2,2243
8.605793592750493E-7,120000000,2,2290
0.5000016084035076,120000000,2,2228
1.0000203271060644,120000000,2,2210
1.5000354860430605,120000000,2,2256
0.6666616713507307,120000000,3,1526
0.3333491647067839,120000000,3,1585
1.831051773031776E-5,120000000,3,1539
0.333349226083428,120000000,3,1533
0.6666723430569143,120000000,3,1557
0.7500120549463147,120000000,4,1209
0.5000132608306752,120000000,4,1182
0.250019761269476,120000000,4,1162
2.1624994267988096E-5,120000000,4,1211
0.2500026047338598,120000000,4,1173
0.7999709841603417,120000000,5,978
0.5999778142579997,120000000,5,977
0.3999743884111247,120000000,5,1034
0.19995565185872427,120000000,5,958
6.267301289002785E-5,120000000,5,976
0.8333359286335443,120000000,6,906
0.6666671869537031,120000000,6,877
0.4999971119091162,120000000,6,849
0.3333374367558663,120000000,6,818
0.16667815418480944,120000000,6,817
0.8749985896321503,120000000,8,689
0.7499970333722691,120000000,8,773
0.624997508990495,120000000,8,739
0.500005801769009,120000000,8,819
0.3750047574575283,120000000,8,671
0.9000066883354919,120000000,10,754
0.8000117172154437,120000000,10,786
0.7000145932595321,120000000,10,738
0.6000144559700312,120000000,10,704
0.5000034717406422,120000000,10,707
0.9166628006230629,120000000,12,708
0.8333143737490849,120000000,12,738
0.7499738798648259,120000000,12,708
0.6666436037279133,120000000,12,735
0.5833162082954706,120000000,12,721
