Error,Ntot,Threads,Duration
3.208147402918776E-5,120000000,1,4052
0.9999948623151695,120000000,1,4036
1.9999974235670868,120000000,1,4051
2.999968121999397,120000000,1,4032
3.9999389371453318,120000000,1,4051
0.5000154651266371,240000000,2,4425
2.2786825352565835E-5,240000000,2,4489
0.49996857579506904,240000000,2,4504
0.999987931117398,240000000,2,4191
1.4999917184337104,240000000,2,4285
0.6666741880028109,360000000,3,4722
0.3333433903296634,360000000,3,4771
3.118620547305477E-7,360000000,3,4627
0.6666591460923004,360000000,3,4628
0.33332087521038073,360000000,3,4645
0.7499996010720178,480000000,4,4743
0.5000012797791884,480000000,4,4722
0.2499984331808105,480000000,4,4645
4.26420980823698E-6,480000000,4,4723
0.2500199221179594,480000000,4,4848
0.799999575178732,600000000,5,4832
0.6000031644573354,600000000,5,4816
0.40000578692271105,600000000,5,4692
0.20000146768608887,600000000,5,4878
1.822842326925962,600000000,5,4755
0.833341591896936,720000000,6,4958
0.6666798002776743,720000000,6,5034
0.5000136716862136,720000000,6,4869
1.599208956157506,720000000,6,4847
1.4325393075892205,720000000,6,4861
0.8750013166526283,960000000,8,5137
0.7500022299469475,960000000,8,5485
1.3370471294957895,960000000,8,5523
1.2120463036907827,960000000,8,5316
1.0870462617238708,960000000,8,5393
0.8999979770427334,1200000000,10,6962
0.7999975314170561,1200000000,10,7525
1.155705549362375,1200000000,10,7130
1.0557042011159636,1200000000,10,7145
0.9557049361016543,1200000000,10,7166
0.916669341891224,1440000000,12,7933
1.1498027252724643,1440000000,12,8146
1.0664691617754656,1440000000,12,8331
0.9831371430392919,1440000000,12,7924
0.8998023767435472,1440000000,12,7891
